epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6402,1.03761,5.48166,1.37485,0.00168,0.84269,0.04394,0.03357,0.86306,4.36486,1.28047,6.666e-05,6.666e-05,6.666e-05
2,135.423,0.9575,4.63683,1.43713,0.00189,0.83834,0.18359,0.14703,0.74149,4.3432,1.17442,0.000130131,0.000130131,0.000130131
3,200.686,0.75773,4.75497,1.1662,0.00275,0.86008,0.24964,0.2158,0.65409,4.12802,1.0818,0.000178204,0.000178204,0.000178204
4,252.319,0.81379,3.63612,1.35037,0.00367,0.76443,0.31787,0.28155,0.62972,4.02649,1.03853,0.000210879,0.000210879,0.000210879
5,305.926,0.73999,4.20045,1.10289,0.00378,0.76443,0.35046,0.3278,0.68673,3.94308,1.04425,0.000228155,0.000228155,0.000228155
6,364.108,1.16026,3.65888,1.55007,0.00374,0.92806,0.44279,0.42237,0.6535,3.75511,0.96851,0.000230033,0.000230033,0.000230033
7,424.887,0.90862,3.20442,1.26407,1,0.02689,0.30929,0.26858,0.63878,3.57898,0.96964,0.000216512,0.000216512,0.000216512
8,484.38,0.65045,3.0954,1.15267,1,0.04733,0.3254,0.293,0.67622,3.47648,0.97572,0.000187592,0.000187592,0.000187592
9,541.573,0.94601,3.13829,1.34544,1,0.17691,0.52824,0.49911,0.67025,3.36976,0.9596,0.000143275,0.000143275,0.000143275
10,601.741,0.66825,2.79964,1.07286,0.98024,0.19459,0.60093,0.55838,0.6632,3.25935,0.96734,8.35583e-05,8.35583e-05,8.35583e-05
